PLATE,WELL, (Plate/Channel)_PairID_Condition_Replicate_Timepoint
2,H8,C_8_SubG_2_1
2,A9,P_10_Sub_1_6
2,B9,P_10_Sub_2_6
2,C9,C_2_St-N_1_1
2,D9,C_2_St-N_1_3
2,E9,C_2_St-N_1_6
2,F9,C_1_SubH_2_6
2,G9,C_2_SubH_2_6
2,H9,C_8_SubGal_2_6
2,A10,P_11_Sub_1_6
2,B10,P_11_Sub_2_6
2,C10,C_2_St-N_2_1
2,D10,C_2_St-N_2_3
2,E10,C_2_St-N_2_6
2,F10,C_1_SubN_2_6
2,G10,C_2_SubN_2_6
2,H10,C_8_SubG_2_6
2,A11,P_12_Sub_1_6
2,B11,P_12_Sub_2_6
2,C11,C_2_SubH_1_1
2,D11,C_2_SubH_1_3
2,E11,C_2_SubH_1_6
2,F11,P_SALT_P4_1_E1
2,G11,P_SALT_P4_1_E2
2,H11,P_SALT_P4_1_E3
2,A12,P_13_Sub_1_6
2,B12,P_13_Sub_2_6
2,C12,C_2_SubN_1_1
2,D12,C_2_SubN_1_3
2,E12,C_2_SubN_1_6
2,F12,P_GAL_P4_1_E1
2,G12,P_GAL_P4_1_E2
2,H12,P_GAL_P4_1_E3
